mechanism,rate,split,gap_mean,gap_std,gap_ci95_lo,gap_ci95_hi,n_seeds,top1_mode,top2_mode,frac_top1_dominant,frac_tied_or_flipped
MCAR,0.0,S1,0.005519157575009448,0.0021425017245609583,0.004580164793395796,0.0064581503566231,20,xgb,rf,0.6,0.4
MCAR,0.05,S1,0.003925100036760515,0.0024484016926919244,0.0028520406830279147,0.004998159390493115,20,xgb,rf,0.35,0.65
MCAR,0.1,S1,0.0044399199093060615,0.0025604586890993334,0.003317749411554464,0.005562090407057659,20,xgb,rf,0.45,0.55
MCAR,0.2,S1,0.0034779163474666975,0.001422224679254578,0.0028545988992968474,0.004101233795636547,20,xgb,rf,0.1,0.9
MCAR,0.3,S1,0.003966961559212351,0.002922095779849468,0.0026862966183126514,0.00524762650011205,20,xgb,rf,0.25,0.75
MCAR,0.4,S1,0.004890025220989802,0.003052585998589912,0.0035521704201876224,0.006227880021791981,20,xgb,extratrees,0.5,0.5
MCAR,0.5,S1,0.0038497651643320807,0.00366530407660631,0.0022433748259263146,0.005456155502737847,20,xgb,extratrees,0.25,0.75
MCAR,0.0,S2,0.007555835301084485,0.0019872254287045406,0.00668489535662538,0.00842677524554359,20,xgb,rf,0.85,0.15
MCAR,0.05,S2,0.00700922498804944,0.0016265664101462428,0.0062963508277004985,0.007722099148398381,20,xgb,rf,0.85,0.15
MCAR,0.1,S2,0.005723399687020858,0.0018186521307295485,0.004926340247840582,0.006520459126201135,20,xgb,rf,0.65,0.35
MCAR,0.2,S2,0.00520621034179497,0.003085147285124162,0.003854084927968206,0.006558335755621734,20,xgb,extratrees,0.5,0.5
MCAR,0.3,S2,0.005480377413892462,0.003405528583421502,0.00398783870517005,0.006972916122614874,20,xgb,rf,0.6,0.4
MCAR,0.4,S2,0.004026473988585938,0.002756867839820598,0.0028182233852008538,0.005234724591971022,20,xgb,extratrees,0.3,0.7
MCAR,0.5,S2,0.005661129148594501,0.004202891443458746,0.0038191307585478114,0.007503127538641191,20,xgb,extratrees,0.45,0.55
MNAR,0.0,S1,0.005519157575009448,0.0021425017245609583,0.004580164793395796,0.0064581503566231,20,xgb,rf,0.6,0.4
MNAR,0.05,S1,0.011942856135378006,0.003023701373628146,0.01061766057961997,0.013268051691136042,20,xgb,extratrees,0.95,0.05
MNAR,0.1,S1,0.02930780711328616,0.003878089266677455,0.027608159553557953,0.031007454673014367,20,xgb,extratrees,1.0,0.0
MNAR,0.2,S1,0.021495872288752153,0.003181452742111281,0.020101539147433622,0.022890205430070684,20,xgb,rf,1.0,0.0
MNAR,0.3,S1,0.0021494672683855186,0.001980512304075915,0.0012814694805165765,0.0030174650562544607,20,xgb,rf,0.15,0.85
MNAR,0.4,S1,0.0001325702355206293,0.00010201125831991217,8.786183033820084e-05,0.00017727864070305775,20,rf,xgb,0.0,1.0
MNAR,0.5,S1,0.0002294433117971839,0.00021043335907288094,0.00013721682585554948,0.0003216697977388183,20,rf,xgb,0.0,1.0
MNAR,0.0,S2,0.007555835301084485,0.0019872254287045406,0.00668489535662538,0.00842677524554359,20,xgb,rf,0.85,0.15
MNAR,0.05,S2,0.01411835515939941,0.0029617673125571322,0.012820303402694145,0.015416406916104674,20,xgb,extratrees,1.0,0.0
MNAR,0.1,S2,0.0325165907324828,0.0027230548850002015,0.03132315930993543,0.033710022155030175,20,xgb,extratrees,1.0,0.0
MNAR,0.2,S2,0.023769261067675428,0.0033464652272611217,0.022302608016106378,0.025235914119244477,20,xgb,rf,1.0,0.0
MNAR,0.3,S2,0.0014314585448781448,0.0014962221532779404,0.0007757102738207102,0.0020872068159355794,20,xgb,rf,0.05,0.95
MNAR,0.4,S2,0.00015495731951261637,0.0001352518531290365,9.568058132746511e-05,0.00021423405769776762,20,rf,xgb,0.0,1.0
MNAR,0.5,S2,0.00013595711963553246,0.00016117129394915822,6.532068565431648e-05,0.00020659355361674845,20,xgb,rf,0.0,1.0
