mechanism,rate,feature,auroc_mean,auroc_std,missing_rate_mean,n_seeds,leak_strength
MAR,0.05,lab_50861,0.34053169718333653,0.0052474145654227596,0.5619451743484127,20,0.15946830281666347
MAR,0.05,lab_50863,0.33554793933603294,0.006712791898714065,0.5743129039130743,20,0.16445206066396706
MAR,0.05,lab_50868,0.47362642926669213,0.004739427589642838,0.14847311980683192,20,0.02637357073330787
MAR,0.05,lab_50878,0.3402493550565723,0.006987755388771558,0.5599815354023152,20,0.15975064494342772
MAR,0.05,lab_50882,0.4741577671869231,0.00703850123284633,0.14813578581066686,20,0.025842232813076904
MAR,0.05,lab_50885,0.3350943467660418,0.006684730048050328,0.5731020524110504,20,0.16490565323395823
MAR,0.05,lab_50893,0.43711409748426266,0.008008359891603992,0.2220154818549819,20,0.06288590251573734
MAR,0.05,lab_50902,0.47773569186339293,0.008138911962271327,0.14199985796463319,20,0.02226430813660707
MAR,0.05,lab_50912,0.4834426829809434,0.006287248605169502,0.1286414317164974,20,0.016557317019056605
MAR,0.05,lab_50931,0.471909126178495,0.0067800151687369475,0.15112207939777006,20,0.02809087382150499
MAR,0.05,lab_50960,0.447587945165662,0.009319635084993325,0.2059299765641645,20,0.05241205483433797
MAR,0.05,lab_50970,0.4357349953204199,0.004429598694666524,0.22721752716426388,20,0.06426500467958007
MAR,0.05,lab_50971,0.477947672361818,0.0070854541612782795,0.13753639656274413,20,0.02205232763818199
MAR,0.05,lab_50983,0.47647142158680716,0.0066024519948386,0.141950145586251,20,0.023528578413192835
MAR,0.05,lab_51006,0.47533715264957055,0.007264391379272473,0.13759676159363682,20,0.02466284735042945
MAR,0.05,lab_51221,0.5028558821649581,0.008695949068059736,0.09680775513102763,20,0.0028558821649581345
MAR,0.05,lab_51222,0.48879688892398965,0.007099915721318274,0.1135963354875364,20,0.011203111076010352
MAR,0.05,lab_51248,0.4915494549581769,0.005606926886841888,0.11744904481215823,20,0.008450545041823077
MAR,0.05,lab_51249,0.4910272512769615,0.00659395643356414,0.11567360272707905,20,0.008972748723038493
MAR,0.05,lab_51250,0.4898060671294817,0.007183321584203389,0.11791421063844898,20,0.010193932870518285
MAR,0.05,lab_51265,0.4942323056305179,0.006845994593733627,0.11166110361480008,20,0.0057676943694821015
MAR,0.05,lab_51274,0.3465200788384057,0.005792955238887965,0.42890419714508915,20,0.1534799211615943
MAR,0.05,lab_51275,0.33747620518014654,0.006272677284746002,0.4510013493359846,20,0.16252379481985346
MAR,0.05,lab_51277,0.4940008862501766,0.008684222404211267,0.11672111355727577,20,0.005999113749823426
MAR,0.05,lab_51279,0.4916338665218487,0.0061411943318047885,0.11700518429088844,20,0.008366133478151294
MAR,0.05,lab_51301,0.4904284980929541,0.008123531453060991,0.11698032810169731,20,0.00957150190704592
MAR,0.05,lab_52172,0.4712428915774479,0.005508832761715492,0.5588452524678644,20,0.02875710842255208
MAR,0.05,marital_status,0.5722894667314222,0.007498241224351813,0.08898515730416874,20,0.07228946673142223
MAR,0.05,race,0.5082904745000543,0.005610384681124191,0.0627512250550387,20,0.008290474500054268
MAR,0.1,admission_location,0.5175191498430437,0.008312834204495995,0.12409274909452454,20,0.017519149843043702
MAR,0.1,admission_type,0.5149055921694077,0.009684880103484382,0.12429870037639372,20,0.014905592169407678
MAR,0.1,anchor_age,0.5177699266859006,0.009494687914248588,0.12514025992472125,20,0.017769926685900606
MAR,0.1,anchor_year,0.5150835139147791,0.008939043555538215,0.1242312335771607,20,0.015083513914779134
MAR,0.1,anchor_year_group,0.514228508433218,0.008996757838322315,0.12533910943825013,20,0.01422850843321799
MAR,0.1,gender,0.5186868516216913,0.00875407205037546,0.12558767133016122,20,0.01868685162169126
MAR,0.1,insurance,0.5265820451087906,0.00797657724872331,0.13575740359349478,20,0.026582045108790586
MAR,0.1,lab_50802,0.21046207240057369,0.011671132920345722,0.8382359207442652,20,0.2895379275994263
MAR,0.1,lab_50820,0.20779702204470984,0.00809825949958633,0.8283467083303743,20,0.29220297795529016
MAR,0.1,lab_50821,0.20794750036333406,0.008671146633626137,0.8379696044315035,20,0.2920524996366659
MAR,0.1,lab_50861,0.35836171138695094,0.007616585769073104,0.589482281087991,20,0.14163828861304906
MAR,0.1,lab_50863,0.3574768249853343,0.007296418765895556,0.6009835949151339,20,0.14252317501466572
MAR,0.1,lab_50868,0.4843155600209574,0.010557991592025723,0.20599034159505716,20,0.01568443997904262
MAR,0.1,lab_50878,0.35661774344502584,0.009190390437522242,0.587713940771252,20,0.14338225655497416
MAR,0.1,lab_50882,0.48371437952106666,0.011782152242487898,0.20716213337120942,20,0.016285620478933338
MAR,0.1,lab_50885,0.35229769110863507,0.010491365352795814,0.6006036503089269,20,0.14770230889136493
MAR,0.1,lab_50893,0.45236547784842723,0.007191880191439873,0.2741318088203963,20,0.04763452215157277
MAR,0.1,lab_50902,0.4900989581573487,0.009469366882981426,0.20128186918542718,20,0.009901041842651281
MAR,0.1,lab_50912,0.4905982728095434,0.010795896239724354,0.18773879696044316,20,0.009401727190456621
MAR,0.1,lab_50931,0.4845535794614676,0.008076914980189165,0.20748171294652368,20,0.015446420538532402
