mechanism,rate,split,seed,top1_model,top1_auroc,top2_model,top2_auroc,gap
MAR,0.1,S2,1001,xgb,0.949044412516369,extratrees,0.9414884455841955,0.007555966932173419
MAR,0.1,S2,1002,xgb,0.949930680730674,extratrees,0.9420442708115043,0.007886409919169668
MAR,0.1,S2,1003,xgb,0.9486309122998111,extratrees,0.9413980992917587,0.007232813008052452
MAR,0.1,S2,1004,xgb,0.9490740282565359,rf,0.9422578604687375,0.006816167787798366
MAR,0.1,S2,1005,xgb,0.9456476178590275,rf,0.9388833293245493,0.006764288534478191
MAR,0.1,S2,1006,xgb,0.9490686873078193,rf,0.9450624707855855,0.004006216522233874
MAR,0.1,S2,1007,xgb,0.9459892221837138,extratrees,0.9396996303414102,0.006289591842303599
MAR,0.1,S2,1008,xgb,0.9490444630433185,extratrees,0.9399572611017077,0.009087201941610723
MAR,0.1,S2,1009,xgb,0.9402831176678041,extratrees,0.9387456598048411,0.0015374578629629987
MAR,0.1,S2,1010,xgb,0.9466551948071888,extratrees,0.9395266649240831,0.00712852988310575
MAR,0.1,S2,1011,xgb,0.9487965243572166,extratrees,0.9445031561173195,0.004293368239897122
MAR,0.1,S2,1012,xgb,0.9473688162159227,rf,0.9388976874530635,0.00847112876285927
MAR,0.1,S2,1013,xgb,0.9485904777878014,extratrees,0.9423205012255451,0.006269976562256252
MAR,0.1,S2,1014,xgb,0.9494212181204272,rf,0.941194768297221,0.008226449823206194
MAR,0.1,S2,1015,xgb,0.949765094580864,extratrees,0.9438281925278142,0.005936902053049753
MAR,0.1,S2,1016,xgb,0.9522851312985416,rf,0.9444087534263239,0.007876377872217732
MAR,0.1,S2,1017,xgb,0.9463479563926318,rf,0.9382857473322661,0.0080622090603657
MAR,0.1,S2,1018,xgb,0.9427950401955698,extratrees,0.9389812114153926,0.0038138287801772197
MAR,0.1,S2,1019,xgb,0.9491889337611423,extratrees,0.9411762194181315,0.008012714343010874
MAR,0.1,S2,1020,xgb,0.9436805921438903,rf,0.9377983085538837,0.005882283590006643
MAR,0.2,S1,1001,xgb,0.9360564879982428,rf,0.9301034327181217,0.005953055280121133
MAR,0.2,S1,1002,xgb,0.9290331289715917,extratrees,0.9253966823063748,0.003636446665216897
MAR,0.2,S1,1003,xgb,0.9350998703873781,extratrees,0.9317403325482013,0.0033595378391767516
MAR,0.2,S1,1004,xgb,0.9380088504865357,extratrees,0.9296465602916202,0.008362290194915523
MAR,0.2,S1,1005,xgb,0.9331316808076193,extratrees,0.9281020943683114,0.005029586439307954
MAR,0.2,S1,1006,xgb,0.9302991173459436,extratrees,0.9248950820649666,0.005404035280976993
MAR,0.2,S1,1007,xgb,0.9403381096794347,rf,0.9310138591800318,0.009324250499402886
MAR,0.2,S1,1008,xgb,0.9305318791749212,extratrees,0.9250555294441518,0.005476349730769381
MAR,0.2,S1,1009,xgb,0.9396164395868455,extratrees,0.9314103739471928,0.008206065639652649
MAR,0.2,S1,1010,xgb,0.9344545646689492,extratrees,0.9296078938351577,0.004846670833791422
MAR,0.2,S1,1011,extratrees,0.9281891877811732,xgb,0.9280319055299294,0.00015728225124378437
MAR,0.2,S1,1012,xgb,0.9337466432580589,extratrees,0.924330165108133,0.009416478149925855
MAR,0.2,S1,1013,xgb,0.9347229014895788,extratrees,0.9280490506133381,0.006673850876240728
MAR,0.2,S1,1014,xgb,0.9354668241015345,extratrees,0.9272615649438348,0.008205259157699651
MAR,0.2,S1,1015,xgb,0.9329720119971405,extratrees,0.9212962790284159,0.011675732968724595
MAR,0.2,S1,1016,xgb,0.9311763538171979,extratrees,0.9236436604761297,0.007532693341068208
MAR,0.2,S1,1017,xgb,0.9333191416132445,extratrees,0.9298773336965109,0.0034418079167335414
MAR,0.2,S1,1018,xgb,0.9386571521887065,extratrees,0.9265592930956826,0.012097859093023855
MAR,0.2,S1,1019,xgb,0.9338865636801034,extratrees,0.9268154720507557,0.007071091629347714
