mechanism,rate,split,seed,winner_model,winner_auroc,winner_ap,winner_brier
MAR,0.3,S1,1007,xgb,0.9149305562723452,0.3990439075173582,0.01924250163137908
MAR,0.3,S1,1008,xgb,0.9103979134576822,0.40393603162343555,0.01910066790878766
MAR,0.3,S1,1009,xgb,0.9087672720668667,0.3744060072517761,0.01972733475267882
MAR,0.3,S1,1010,xgb,0.907090788102467,0.35764265632003056,0.0200981397181749
MAR,0.3,S1,1011,xgb,0.9133194999405916,0.3723278624291787,0.01966414265334602
MAR,0.3,S1,1012,xgb,0.9144120970297414,0.38176759736393473,0.01959868818521496
MAR,0.3,S1,1013,xgb,0.9052543070846342,0.3389809993134416,0.02037404179573054
MAR,0.3,S1,1014,xgb,0.9121327671533749,0.3292177955565405,0.02043173536658282
MAR,0.3,S1,1015,xgb,0.9100742655930212,0.4035147107200137,0.01930957138538354
MAR,0.3,S1,1016,xgb,0.9067667105223561,0.3735874556293882,0.0197338834404945
MAR,0.3,S1,1017,xgb,0.9138984156582349,0.3621895158933806,0.01997371241450304
MAR,0.3,S1,1018,xgb,0.9061121360113645,0.3564499529810045,0.01999411992728706
MAR,0.3,S1,1019,xgb,0.9104585350878303,0.3345605979517516,0.0204007271677255
MAR,0.3,S1,1020,xgb,0.9116380043485327,0.38762524037398766,0.01935041248798362
MAR,0.3,S2,1001,xgb,0.9143892086864719,0.3948440627942954,0.0192321743816137
MAR,0.3,S2,1002,xgb,0.9183403011423668,0.3819005726020757,0.0196041882038116
MAR,0.3,S2,1003,xgb,0.9094799960184397,0.38448070967836945,0.0194949712604284
MAR,0.3,S2,1004,xgb,0.9064242763551762,0.3618491860543563,0.01996441818773742
MAR,0.3,S2,1005,xgb,0.9183952746398241,0.3709049469188029,0.01978910788893696
MAR,0.3,S2,1006,xgb,0.9126765596543731,0.3604171442840944,0.01984572596848008
MAR,0.3,S2,1007,xgb,0.9179192303831609,0.3867701320130431,0.01938375495374198
MAR,0.3,S2,1008,xgb,0.9021710427725314,0.3274918948215848,0.02037242799997324
MAR,0.3,S2,1009,xgb,0.9024548928575354,0.347751980686855,0.019929267838597258
MAR,0.3,S2,1010,xgb,0.918501017932357,0.3802746413344285,0.01950588971376412
MAR,0.3,S2,1011,xgb,0.9175830658466186,0.331470217083406,0.02052460908889766
MAR,0.3,S2,1012,xgb,0.9162591104770179,0.3718193822158421,0.019811515137553182
MAR,0.3,S2,1013,xgb,0.9040060750607808,0.3515918967287046,0.02003731541335576
MAR,0.3,S2,1014,xgb,0.9034694441243468,0.32474438102884146,0.020480865985155063
MAR,0.3,S2,1015,xgb,0.9048426133594928,0.37459227934721573,0.01969770714640614
MAR,0.3,S2,1016,xgb,0.9113396780857599,0.35594781592226676,0.02009364701807492
MAR,0.3,S2,1017,xgb,0.9114531747060297,0.3336070303696882,0.0203503847122192
MAR,0.3,S2,1018,xgb,0.9110883849959016,0.35654553070562817,0.020094823837280222
MAR,0.3,S2,1019,xgb,0.912793733718488,0.3706558885993282,0.01980819180607792
MAR,0.3,S2,1020,xgb,0.9178086645544518,0.36264853823032406,0.01989230960607524
MAR,0.4,S1,1001,xgb,0.8687429644100264,0.2765077458356806,0.02141415290534492
MAR,0.4,S1,1002,xgb,0.8684796215803925,0.2875318068663943,0.02132164984941478
MAR,0.4,S1,1003,xgb,0.8569250529913306,0.2646182658982278,0.02151426486670966
MAR,0.4,S1,1004,xgb,0.867980015253265,0.26381738360112034,0.02168557383120056
MAR,0.4,S1,1005,xgb,0.872658514443974,0.2465567006939736,0.02191004417836662
