mechanism,rate,split,model,seed,fold,auroc,ap,brier,ece
MCAR,0.0,S1,rf,1002,3,0.9540111342004668,0.6025973300117423,0.0160140818784669,0.0070281938807083
MCAR,0.0,S1,rf,1002,4,0.9625799724651766,0.6881376152176528,0.0147789620608703,0.0113391038939325
MCAR,0.0,S1,rf,1002,5,0.9316842808551992,0.505349424781157,0.0176732757260101,0.0052189867424242
MCAR,0.0,S1,xgb,1002,1,0.94911455171018,0.4944893791008637,0.017711928114295,0.00741393174845
MCAR,0.0,S1,xgb,1002,2,0.959875830575438,0.5412411626960932,0.0166494492441415,0.0087950634054023
MCAR,0.0,S1,xgb,1002,3,0.9587675414967034,0.5869083696435827,0.0156138082966208,0.008492286108727
MCAR,0.0,S1,xgb,1002,4,0.9635568513119536,0.68924849840038,0.0134086767211556,0.004278425171399
MCAR,0.0,S1,xgb,1002,5,0.9439939666342728,0.5051816368892257,0.0173453502357006,0.0059536642053527
MCAR,0.0,S1,extratrees,1002,1,0.9492056263914188,0.5093997947371023,0.01753877549008,0.0066435924742634
MCAR,0.0,S1,extratrees,1002,2,0.952553939300649,0.5330779651160452,0.0171460079308712,0.0081350615530303
MCAR,0.0,S1,extratrees,1002,3,0.9494497036866004,0.560799364688751,0.0174766172995048,0.012303545803654
MCAR,0.0,S1,extratrees,1002,4,0.962848234531908,0.6962508799738959,0.015493376144255,0.0145140861742424
MCAR,0.0,S1,extratrees,1002,5,0.9328256600259152,0.4973688272557982,0.0181158282039141,0.0062440814393939
MCAR,0.0,S1,lr_l2,1003,1,0.895066788099575,0.4886904560569264,0.0174778080122374,0.0039756551564845
MCAR,0.0,S1,lr_l2,1003,2,0.88660047718002,0.5024704916900966,0.0168052202755745,0.0042929277286246
MCAR,0.0,S1,lr_l2,1003,3,0.9023320249365042,0.4170554300421196,0.0184015954498717,0.0034631042417241
MCAR,0.0,S1,lr_l2,1003,4,0.9000647878198899,0.423351949020894,0.018848413348839,0.0028930003547307
MCAR,0.0,S1,lr_l2,1003,5,0.8802538872691934,0.3491599633983612,0.0207631174452619,0.0059384417059594
MCAR,0.0,S1,svm_linear_cal,1003,1,0.8807124063954666,0.5024238687460998,0.0172604456879511,0.0041716924784888
MCAR,0.0,S1,svm_linear_cal,1003,2,0.8638651581620872,0.5090673518796468,0.0173893319270996,0.0080069143381459
MCAR,0.0,S1,svm_linear_cal,1003,3,0.9021678339618768,0.4133082077760005,0.0185725365086326,0.0041359289338405
MCAR,0.0,S1,svm_linear_cal,1003,4,0.8984805231616456,0.4542111112163161,0.0182135245477582,0.0031760257636638
MCAR,0.0,S1,svm_linear_cal,1003,5,0.8691235422740525,0.3555932873981429,0.0208285580246455,0.0057468052729925
MCAR,0.0,S1,rf,1003,1,0.9636004857316331,0.6257191232078608,0.0156370190500695,0.0086612314569615
MCAR,0.0,S1,rf,1003,2,0.9611226557890146,0.5544663611613257,0.0165566141902909,0.0055271774496048
MCAR,0.0,S1,rf,1003,3,0.9426563021113932,0.5063492750325075,0.0175535903297469,0.0035297409644386
MCAR,0.0,S1,rf,1003,4,0.9519861516034984,0.568567393533186,0.0163422431489379,0.0067236659893818
MCAR,0.0,S1,rf,1003,5,0.936280166828636,0.515614874440953,0.0173201961016414,0.0076313920454545
MCAR,0.0,S1,xgb,1003,1,0.9590416919651892,0.6310425164851822,0.014287756755948,0.0068293940100452
MCAR,0.0,S1,xgb,1003,2,0.9648682623977012,0.5898544842554303,0.0154823176562786,0.0099984735354287
MCAR,0.0,S1,xgb,1003,3,0.9523640934862362,0.5151801415263958,0.0169962290674448,0.0085731908385882
MCAR,0.0,S1,xgb,1003,4,0.948534175574992,0.5186927363041248,0.0171354636549949,0.0080891718407811
MCAR,0.0,S1,xgb,1003,5,0.9421718091998704,0.549960314225003,0.0164352785795927,0.0079616684285251
MCAR,0.0,S1,extratrees,1003,1,0.9603116777980166,0.6473952581145996,0.0159012266792884,0.0134303632706188
