mechanism,rate,split,model,seed,fold,auroc,ap,brier,ece
MCAR,0.0,S1,rf,1006,4,0.9432853498542274,0.5166942082918744,0.0172002174047669,0.0047908903140618
MCAR,0.0,S1,rf,1006,5,0.9510295189504372,0.5271962098408008,0.0173550002012138,0.0054749511089041
MCAR,0.0,S1,xgb,1006,1,0.9507387168589354,0.579550247984135,0.0155348759144544,0.0042537587987949
MCAR,0.0,S1,xgb,1006,2,0.968562559326817,0.5684880962475697,0.0161439012736082,0.0060875874568027
MCAR,0.0,S1,xgb,1006,3,0.9515123528053568,0.5685696825123779,0.0160011034458875,0.0065556468854259
MCAR,0.0,S1,xgb,1006,4,0.950948534175575,0.5268890720248994,0.017036223784089,0.0071400089283987
MCAR,0.0,S1,xgb,1006,5,0.9641186831875608,0.6259133819837795,0.0149343218654394,0.0064160634083236
MCAR,0.0,S1,extratrees,1006,1,0.9377959927140256,0.5612735084470867,0.0170547972626513,0.0096314045675068
MCAR,0.0,S1,extratrees,1006,2,0.9636932707355242,0.5729895478221476,0.0170101966934974,0.0107960464015151
MCAR,0.0,S1,extratrees,1006,3,0.9429949459965622,0.5456224734362368,0.0171236998895202,0.0093075284090909
MCAR,0.0,S1,extratrees,1006,4,0.9494705620343374,0.5237229986186983,0.0177381662734721,0.0094217830901277
MCAR,0.0,S1,extratrees,1006,5,0.961977648202138,0.5887778466709545,0.0165098839962121,0.0119045928030303
MCAR,0.0,S1,lr_l2,1007,1,0.8740082979154017,0.4002874549874349,0.0196302784026482,0.004374301187875
MCAR,0.0,S1,lr_l2,1007,2,0.9007157700300161,0.4789652524126504,0.017554285616197,0.0063421326664614
MCAR,0.0,S1,lr_l2,1007,3,0.8514687395777213,0.4434377165896954,0.0177578458368899,0.0052861628980037
MCAR,0.0,S1,lr_l2,1007,4,0.8772726352445741,0.4393158411221797,0.0182865349346462,0.003683609018808
MCAR,0.0,S1,lr_l2,1007,5,0.9352071185617103,0.48072553948354,0.0180927242960928,0.0054843927810687
MCAR,0.0,S1,svm_linear_cal,1007,1,0.8707802064359441,0.3984463498424392,0.020039571455321,0.0063166409313178
MCAR,0.0,S1,svm_linear_cal,1007,2,0.8990789912516997,0.4764839084642358,0.0177193054522656,0.0075552247157961
MCAR,0.0,S1,svm_linear_cal,1007,3,0.8447215167141282,0.4456670341266073,0.0179137000274641,0.0046844742151675
MCAR,0.0,S1,svm_linear_cal,1007,4,0.8592079689018465,0.4353545895098499,0.0183168328209959,0.0028832041626414
MCAR,0.0,S1,svm_linear_cal,1007,5,0.9265822400388728,0.491666998940518,0.0178952263124414,0.0075556607017342
MCAR,0.0,S1,rf,1007,1,0.954968629832018,0.5847691393637339,0.0163214678750645,0.0098436205020211
MCAR,0.0,S1,rf,1007,2,0.9551707329587726,0.5541921888924671,0.0163094904119318,0.0080356297348484
MCAR,0.0,S1,rf,1007,3,0.9514046024782576,0.5606803492192252,0.016413613783133,0.005404135731375
MCAR,0.0,S1,rf,1007,4,0.9492503846776806,0.5601660411297148,0.0166499339094065,0.0070543323863636
