mechanism,rate,split,model,seed,auroc_mean,ap_mean,brier_mean,ece_mean,auroc_std,ap_std,brier_std
MAR,0.0,S1,rf,1016,0.9499840381676451,0.5532809140588586,0.016659811343615598,0.006533908854631421,0.011409674406807244,0.06912604278830023,0.001191156518461166
MAR,0.0,S1,rf,1017,0.9497513039350727,0.5648349833822949,0.0163943980813303,0.0063324370295206,0.007196387808548533,0.04842041973555551,0.0007887775348763688
MAR,0.0,S1,rf,1018,0.948994936705305,0.5554498145537987,0.0166515735344538,0.0064743435977485195,0.010491613497372241,0.041838314039908266,0.0006769690796964158
MAR,0.0,S1,rf,1019,0.9507031541306208,0.5595387053917785,0.01653199718411702,0.00781211378851792,0.0035218218134104055,0.0558325511298397,0.001062540808521875
MAR,0.0,S1,rf,1020,0.9504970534726725,0.5548436987925682,0.01656786776726616,0.0065268137441500005,0.009566582023433481,0.09844063923821891,0.0017025140809804572
MAR,0.0,S1,svm_linear_cal,1001,0.8815593581521428,0.44365200588173215,0.01831460423015642,0.00708384614221636,0.018055444130691146,0.08030573902761086,0.0016269533951127728
MAR,0.0,S1,svm_linear_cal,1002,0.8768842654683204,0.45411150354481417,0.01829606295385472,0.0062183495930732795,0.03491974747614141,0.0826348869229391,0.0011453845665841682
MAR,0.0,S1,svm_linear_cal,1003,0.8828698927910258,0.4469207654032412,0.018452879339217403,0.005047473357426301,0.017109201854562356,0.06416084106066547,0.00143774901158713
MAR,0.0,S1,svm_linear_cal,1004,0.8824198985386407,0.45144625619521933,0.01839876743599862,0.00683693799394014,0.032937354632274214,0.07141880415447814,0.001330195460979999
MAR,0.0,S1,svm_linear_cal,1005,0.8839129207452938,0.4528883957702673,0.018356987905867823,0.00690717446697668,0.026582668133431228,0.04340404616534173,0.0010425633545904974
MAR,0.0,S1,svm_linear_cal,1006,0.8828468751661342,0.4513287761886325,0.018308010251993582,0.006329808170527899,0.020832121184773414,0.037094016235075675,0.0008390184707477758
MAR,0.0,S1,svm_linear_cal,1007,0.8800741846684982,0.44952377617673,0.0183769272136976,0.0057990409453314,0.032771061971266356,0.03649466998362589,0.0009548663225398874
MAR,0.0,S1,svm_linear_cal,1008,0.8842500253504639,0.4488633201028535,0.01856554003709076,0.006864714006780121,0.023978821771933997,0.05442926795545187,0.0010501819919164395
MAR,0.0,S1,svm_linear_cal,1009,0.8843303065961952,0.45404015208691895,0.018496282518038098,0.00730828355790014,0.00908768623523844,0.043071687032203876,0.0010136744441823096
MAR,0.0,S1,svm_linear_cal,1010,0.8802925079887567,0.4450677178183568,0.01849193354935464,0.007445394619835141,0.03679844426084592,0.030562377767149842,0.0006807303025667166
